date,distance,fare,extra,tax,tip
1/1/2014,1389465.3,5382436.68,102493,209242.5,512187.03
1/2/2014,1013221.7,4196345.58,128850.5,179191,422675.85
1/3/2014,780968.47,3274862.27,129015,137116.5,335572.43
1/4/2014,1154593.11,4879139.41,80781,208060,508973.69
1/5/2014,1184631.99,4730989.15,73533.5,193447,519305.61
1/6/2014,1161024.76,4841794.18,142139.5,196957,564550.23
1/7/2014,1204506.5,5229618.73,167176.02,229299.5,630242.98
1/8/2014,1239814.83,5440869.26,170276,236115.5,664469.69
1/9/2014,1298318.03,5668703.84,175424.25,239114,698161.05
1/10/2014,1357490.7,6006099.49,190472.5,253133.5,723817.93
1/11/2014,1364089.33,5742287.49,107229,254948.5,652413.06
1/12/2014,1379189.73,5480944.98,91400.5,224414.5,644997
1/13/2014,1187467.03,4985849.07,153867.5,209169,622987.44
1/14/2014,1209928.36,5418004.89,160124.5,226314.5,690952.44
1/15/2014,1326754.24,5764711.11,169050.4,232291.5,740484.56
1/16/2014,1355325.08,5902876.31,177538.9,240085.5,754005.61
1/17/2014,1398327.65,6101100.62,181804,244545.5,745788.01
1/18/2014,1372930.21,5767748.75,110680.5,252793,638918.92
1/19/2014,1338312.82,5395737.29,99273.5,230370.5,605484.12
1/20/2014,1175767.58,4637628.11,56261.68,188472,556901.93
1/21/2014,644872.06,3423441.03,56367.5,127237.5,417304.63
1/22/2014,1028986.02,4463323.11,152850.76,188160.5,572693.88
1/23/2014,1313056.39,6000336.51,166080.25,230229,762794.84
1/24/2014,1380977.83,6298318.61,189091.6,253867.5,777338.15
1/25/2014,1386312.17,5931663.11,111030,264630,679611.47
1/26/2014,1348705.15,5432645.45,89235.5,227726.5,641342.71
1/27/2014,1162767.62,4974368.04,156565.4,208770.5,627320.73
1/28/2014,1207275.04,5478995.55,169356.05,233665.5,702366.09
1/29/2014,1257278.65,5717056.85,176786.3,238189,740042.1
1/30/2014,1345941.45,6114896.05,183284.5,247098,788722.83
1/31/2014,1440586.2,6463910.83,197979.5,262523,796291.35
2/1/2014,1424300.78,6228902.16,119231,266089,709736.01
2/2/2014,1363907.28,5486564.11,106212.08,231281.5,643289.97
2/3/2014,1100280.9,4586997.03,138969.5,190155.5,570059.15
2/4/2014,1249646.13,5495648.61,165329.7,226298,707756.24
2/5/2014,1061063.92,4781371.68,161432.1,206273.5,617720.95
2/6/2014,1343372.07,6138027.6,172091.25,238428,790172.77
2/7/2014,1411005.75,6453992.36,191741.5,255212,798112.2
2/8/2014,1437362.62,6302803.3,117312,274267,722072.83
2/9/2014,1362727.05,5526219.61,93728.02,232451,652567.42
2/10/2014,1212394.39,5274799.97,162003.5,217172,664754.44
2/11/2014,1282103.68,5899194.26,174744.6,243902.5,751558.6
2/12/2014,1303374.98,6002683.28,174146.5,240014,767360.93
2/13/2014,856239.63,3633740.7,139436,162383.5,463831.85
2/14/2014,1353868.22,5991113.56,185085.54,235154,725394.63
2/15/2014,1341474.07,5653452.88,106444.1,244892,617996.91
2/16/2014,1305063.66,5332526.74,97940.83,227742.5,590245.15
2/17/2014,1174334.47,4706159.78,61950.5,195058,549029.42
2/18/2014,1176303.51,5072240,156426.5,209091,633461.98
2/19/2014,1234732.73,5684144.92,163220.5,222303.5,708752.85
2/20/2014,1321750.12,5931899.47,170195.34,232183.5,736333.57
2/21/2014,1383882.85,6127732.06,189007,250886,749537.91
2/22/2014,1459392.4,6231659.56,114915.5,260229,700870.71
2/23/2014,1383363.78,5538903.28,93739,220264.5,636180.2
2/24/2014,1252497.45,5288878.42,163927,219019,659451.74
2/25/2014,1273884.67,5596328.39,172292.7,235419,712679.73
2/26/2014,1337488.84,5873966.23,184459.75,245628,755958.03
2/27/2014,1415334.46,6259924.82,190596.19,255235,802237.88
2/28/2014,1502916.53,6646273.1,202851.59,271194.5,817413.98
3/1/2014,1533264.1,6570359.81,117997.5,276677.5,739372.78
3/2/2014,1434689.83,5674595.46,90803.5,230165,655326.28
3/3/2014,1261462.77,5230341,173014.59,231342.5,644109.2
3/4/2014,1351790.81,5908683.94,182808.15,248932.5,744671.78
3/5/2014,1407759.95,6156680.53,188709.5,253358.5,782174.44
3/6/2014,1482402.95,6569837.78,193667.23,264625.5,831101.8
3/7/2014,1528128.13,6744197.09,203564.39,272667,818352.13
3/8/2014,1534578.63,6596642.11,117741.5,274937,726517.01
3/9/2014,1478550.45,5963651.28,94031.5,235733.5,668049.68
3/10/2014,1293821.07,5438306.11,159255.83,220315,664381.69
3/11/2014,1286964.38,5645672.1,162199.59,227727.5,702502.14
3/12/2014,1358347.47,5958222.4,177674.5,240707,755751.57
3/13/2014,1495602.25,6548497.16,198586.35,273541.5,833479.77
3/14/2014,1544223.81,6678927.11,198891.54,268480.5,818858.16
3/15/2014,1549845.3,6565235.13,120472.5,273036.5,728172.62
3/16/2014,1511460.07,6030945.64,98520.5,241517,685273.9
3/17/2014,1286804.56,5424005.45,165441,215918,654366.79
3/18/2014,1323789.84,5700840.46,172975,234169,711605.3
3/19/2014,1348006.68,5958919.04,181765.34,243906.5,752301.41
3/20/2014,1472095.35,6327150.29,184352,249020.5,802698.13
3/21/2014,1503470.08,6502874.78,197381.5,257317.5,790908.95
3/22/2014,1530093.41,6434210.5,118747.5,266350.5,710921.15
3/23/2014,1528465.19,6066168.57,100123,239335.5,695184.46
3/24/2014,1311458.49,5406589.33,161752.5,220936,664925.78
3/25/2014,1296771.69,5537209.14,170224.02,229997.5,699231.32
3/26/2014,1383192.92,6013275.27,188846.46,250524.5,765447.14
3/27/2014,1462909.45,6369247.83,186621,253045.5,805485.18
3/28/2014,1502595.47,6509012.71,195342,260283,789105.59
3/29/2014,1542487.67,6676153.55,121104.5,286398,745983.76
3/30/2014,1456227.63,5838285.18,90239,230320.5,673760.16
3/31/2014,15833633.2,5418866.24,156485.64,215423.1,667533.66
4/1/2014,1299094.61,5626865.17,171298,230575.5,698873.9
4/2/2014,1345353.61,5988586.39,173850.5,241169.5,754883.21
4/3/2014,1435695.59,6354343.89,185043.77,249036,792301.36
4/4/2014,1508504.96,6709080.38,202780,271435,813496.3
4/5/2014,1511098.99,6550662.22,116441,270857,723311.6
4/6/2014,1521056.34,6055530.84,99632.5,236684,688386.19
4/7/2014,1323661.76,5612216.94,175674.25,229549,688337.56
4/8/2014,1322157.64,5754065.54,168677.2,232763.5,721354.82
4/9/2014,1386363.17,6060087.52,179155,241449.5,762634.61
4/10/2014,1462935.85,6449546.03,182228.46,248428.5,807759.93
4/11/2014,1480178.42,6508172.27,186389.08,252103.5,778527.03
4/12/2014,1530652.26,6534053.57,115911.02,269282,704577.63
4/13/2014,1498641.03,5979113.8,96621,235046.5,656381.02
4/14/2014,1258707.73,5250228.03,149808,208870.5,596479.45
4/15/2014,1309454.21,5707390.71,180527.92,239975.5,678160.29
4/16/2014,1402954.51,6123346.25,180254.5,246885,732996.43
4/17/2014,1475005.24,6546213.85,181671.69,253283,776775.23
4/18/2014,1461880.43,6210353.4,202013.94,256587.5,699524.05
4/19/2014,1359058.55,5722575,105509,241216,578579.91
4/20/2014,1382583.82,5419125.43,88930.23,213608.5,567920.24
4/21/2014,1306132.84,5288084.74,156050.5,209851,618242.32
4/22/2014,1349551.41,5738929.73,173008.5,230956.5,697470.23
4/23/2014,1429803.34,6295842.15,183772.1,249861.5,774101.82
4/24/2014,1490594.91,6645039.91,181860.26,251605.5,817818.76
4/25/2014,1536213.24,6760808.17,198338.93,262159,805355.41
4/26/2014,1531445.92,6654575.26,118935.52,269152,730112.98
4/27/2014,1542432.09,6186110.17,96514,235555,699297.78
4/28/2014,1334156.53,5531250.22,159968.85,217353,673105.18
4/29/2014,1329533.11,5899676.9,174431,240828,731147.02
4/30/2014,1366948.16,6348336.55,172982.5,247887,785624.42
5/1/2014,1481708.24,6514310.87,178567.52,245299.5,809727.37
5/2/2014,1582499.5,6854871.65,188728.89,257416.5,811248.83
5/3/2014,1571290.31,6728512.31,116639,271137.5,729052.3
5/4/2014,1553836.96,6137023.61,99228.39,236742,689682.96
5/5/2014,1405850.95,5942938.22,170629.55,229713,715340.08
5/6/2014,1401925.94,6120054.29,182781.59,240752.5,756842.64
5/7/2014,1425055.95,6322083.79,174527.35,241299.5,788338.31
5/8/2014,1488995.06,6639339.88,189364.65,252985,829079.08
5/9/2014,1539231.37,6736606.36,194389.66,260883.5,815286.37
5/10/2014,1529914.68,6449860.17,109778.5,262786,709501.72
5/11/2014,1501991.69,5984724.99,92372.94,225941.5,663489.26
5/12/2014,1352370.33,5678963.1,157849,217854.5,692835.77
5/13/2014,1363297.35,6009964,172666.5,235633.5,747933.34
5/14/2014,1396741.39,6264776.64,161347,232349.5,788375.46
5/15/2014,1486081.53,6633784.2,180512.42,246460,829057.39
5/16/2014,1536932.38,6756115.82,188607.06,256816,811280.64
5/17/2014,1546458.5,6676985.78,106769.54,252503.5,735595.24
5/18/2014,1581522.94,6346650.66,99992.1,235838,713152.75
5/19/2014,1408868,5903562.53,164222.59,225522.5,707203.35
5/20/2014,1417614.2,6233122.81,168900.7,235164,757870.26
5/21/2014,1458432.31,6420120.9,173234.5,240966,792058.46
5/22/2014,1466192.5,6556344.43,172319,243543.5,800356.27
5/23/2014,1501538.26,6463142.46,185830.7,246774.5,752954.04
5/24/2014,1271641.28,5155788.98,85034.5,205755,520842.53
5/25/2014,1208617.55,4790412.34,80735.5,188216.5,468606.79
5/26/2014,1199260.36,4491768.96,63966,167190.5,486463.64
5/27/2014,1308203.49,5597264.3,153420,215670.5,663968.81
5/28/2014,1381035.3,6186662.97,166511.96,235386,746999.95
5/29/2014,1433842.71,6408730.76,180237.61,243988,782123.42
5/30/2014,1475905.47,6517772.39,189776.5,251014.5,772074.8
5/31/2014,1507238.5,6357281.51,110274.5,255126.5,692818.58
6/1/2014,1489458.06,6014375.39,94199.23,216479,671827.25
6/2/2014,1319115.13,5546519.48,157046.04,213168,671095.56
6/3/2014,1320518.08,5860430.05,167650,230523,720054.76
6/4/2014,1393414.93,6173907.04,176834.81,240321,777062.63
6/5/2014,1473636.04,6561182.32,183692.65,249825.5,820950.56
6/6/2014,1477223.29,6587750.13,182546,246552,774026.05
6/7/2014,1466503.4,6204428.9,107048,251239.5,658923.85
6/8/2014,1469094.43,5787938.5,92981.73,216319.5,639029.07
6/9/2014,1352211.23,5770419.45,158836.7,219136,704351.81
6/10/2014,1331056.52,5931691.55,167705.69,230917,734361.83
6/11/2014,1377382.9,6243818.43,169171.05,237668.5,784258.04
6/12/2014,1482876.83,6566597.18,180349,248344,824719.67
6/13/2014,1456519.39,6427440.36,188090,247130,784248.13
6/14/2014,1450584.46,6037614.18,104456.5,242903,659175.09
6/15/2014,1402434.46,5435440.77,88039.5,206190.5,604752.85
6/16/2014,1307057.14,5467319.68,156851.46,210744.5,665510.95
6/17/2014,1297549.28,5781008.15,158462.5,223854,709669.04
6/18/2014,1368611.56,6116878.8,169946,235418.5,759601.85
6/19/2014,1446691.79,6419702.09,174048.39,242542,796035.21
6/20/2014,1454736.35,6360304.06,182529.46,241781,759335.21
6/21/2014,1400373.93,5900014.78,105049.33,235880,633585.87
6/22/2014,1444469.13,5658811.11,93022,214330,631537.44
6/23/2014,1293968.28,5350886.55,151392,205777.5,644523.93
6/24/2014,1291975.69,5640057.87,161761.96,220148,697982.95
6/25/2014,1357950.72,6054562.48,169489.73,233207.5,755606.44
6/26/2014,1475135.76,6508519.82,175903.83,242463,818103.48
6/27/2014,1437271.63,6330511.77,177805.73,236103.5,757101.27
6/28/2014,1410362.77,5907558.66,104614.5,235178.5,642580.88
6/29/2014,25011743.48,5417925.48,89106.73,200308.5,599495.08
6/30/2014,1238170.49,5209979.78,150716.5,203968,609219.15
7/1/2014,1252684.59,5446615.32,163769.46,222084.5,653199.5
7/2/2014,1228007.08,5497077.63,160856.5,218791.5,658413.28
7/3/2014,1239447.47,5352174.75,152982,207734,622175.57
7/4/2014,999944.27,3863713.76,62133,154138,394733.88
7/5/2014,968379.87,3789161.77,64973,153566,359845.31
7/6/2014,1110399.32,4191541.94,62298.5,156024.5,446515.81
7/7/2014,1178059.44,4782573.68,139439.96,188529,563674.31
7/8/2014,1222103.81,5295018.63,161190.46,216748.5,640450.04
7/9/2014,1285886.26,5627316.86,166676.73,223509.5,695200.67
7/10/2014,1319234.78,5799598.66,169445.19,227192.5,721495.63
7/11/2014,1339406.34,5845299.33,172719.59,228434.5,694574.54
7/12/2014,1309385.17,5447602.25,98637,222747.5,589160.11
7/13/2014,1329047.18,5192448.09,85995.73,204375.5,586670.93
7/14/2014,1238202.58,5224260.82,157864,207409,631869.33
7/15/2014,1227165.78,5481597.41,156927.96,217490,676115.53
7/16/2014,1324466.34,5823403.62,164022.5,223722.5,730419.27
7/17/2014,1359489.83,5993615.94,165223.46,227681.5,744747.32
7/18/2014,1371942.8,5930724.16,173573.46,229201,704799.03
7/19/2014,1316398.65,5412898.33,100095.51,221857.5,581793.03
7/20/2014,1317292.06,5173063.64,85888,198441,577285.31
7/21/2014,1230825.57,5107817.85,147556,198800,610578.44
7/22/2014,1274687.81,5629624.79,166449,222853,683930.95
7/23/2014,1325638.98,5915435.18,172280.75,232532.5,731408.75
7/24/2014,1378623.12,6027844.47,169491.5,229941.5,750978.23
7/25/2014,1395226.67,6005351.93,175655.23,229796.5,707489.38
7/26/2014,1335542.18,5517585.17,99927,223382.5,582861.93
7/27/2014,1320701.25,5179076.41,86556.5,201116.5,570048.07
7/28/2014,1168439.01,4709448.68,136180.96,183621.5,560238.36
7/29/2014,1238623.43,5327795.19,157821,210499,646627.92
7/30/2014,1294750.59,5672653.69,162417.46,219931.5,696417.95
7/31/2014,1354655.27,6003553.07,166898.3,225795.5,740494.58
8/1/2014,1353792.73,5905174.65,168699.65,225794,696469.96
8/2/2014,1313303.08,5417616.07,99132.46,219219,582322.27
8/3/2014,1301753.3,5138917,85400.3,198030.5,569865.27
8/4/2014,1209849.26,5066505.78,143218.96,195538.5,594788.48
8/5/2014,1224485.06,5360025.38,151993.82,210322,644236.25
8/6/2014,1280885.94,5622192.32,161081.5,218911.5,692285.68
8/7/2014,1336767.42,5889251.81,164565.46,222395,723079.69
8/8/2014,1334476.27,5743751.56,168722,221973,672922.18
8/9/2014,1273988.08,5240578.3,93034,209317,555478.2
8/10/2014,1253994.26,4924059.82,79877.23,185175.5,537328.09
8/11/2014,1181384.8,4849713.4,138403.55,187939.5,573299.15
8/12/2014,1189735.71,5178881.37,151608,205923,625892.69
8/13/2014,1262739.76,5470127.43,161232.5,216394.5,675693.48
8/14/2014,1324513.69,5756556.22,163019.5,218764.5,701780.73
8/15/2014,1352455.05,5791672.83,168987.5,221161.5,678284.8
8/16/2014,1280394.12,5320449.5,91944,208751.5,559946.46
8/17/2014,1273930.51,5016356.14,80512.7,189151.5,549709.73
8/18/2014,1190032.27,4863172.9,138295.3,187563.5,572115.19
8/19/2014,1189218.35,5092186.13,149796,202278,608935.49
8/20/2014,1256523.78,5397375.78,156129.73,210371,653779.18
8/21/2014,1329528.86,5732016.63,165312.5,219927,695612.75
8/22/2014,1288876.34,5514710.19,158155.46,209106,639494.82
8/23/2014,1232332.47,5077602.97,90183.89,200489,533203.13
8/24/2014,1250573.65,4907237.54,78484,181278,529788.25
8/25/2014,1131160.51,4571256.61,133206,178294,528054.3
8/26/2014,1155253.64,4877655.74,143135.5,193939.5,576057.76
8/27/2014,1227294.29,5224996.44,155273.23,207032.5,625308.48
8/28/2014,1267718.09,5376014.38,154827,206479,640139.47
8/29/2014,1291727.23,5347224.66,156503.5,204406,601445.65
8/30/2014,1172255.04,4690939.74,78864.33,187435,459376.96
8/31/2014,1129317.99,4496389.09,72674.5,175502,441712.22
9/1/2014,1134583,4228889.11,57275.1,158753.5,465767.75
9/2/2014,1231350.89,5199145.74,143266.69,203487,626655.65
9/3/2014,1277210.59,5634782.48,158229.39,219806,687730.35
9/4/2014,1359483.83,6082557.82,168802,233896.5,757352.17
9/5/2014,1423054.6,6345578.82,184765.79,247503.5,767767.41
9/6/2014,1427211.29,6167568.41,107949.5,250797,688341.78
9/7/2014,1433960.92,5706880.6,89705,222055,657827.63
9/8/2014,1312704.66,5563680.73,157457.5,214505.5,685404.39
9/9/2014,1295856.34,5810893.55,161398.19,224544,732807.89
9/10/2014,1355002.19,6062538.11,170622.3,232395.5,775940.82
9/11/2014,1371369.58,6087472.07,174762,238392.5,775845.1
9/12/2014,1429369.67,6405306.01,181695.33,242533.5,781451.74
9/13/2014,1457185.5,6265746.11,108528,255945,699202.72
9/14/2014,1457900.84,5843597.85,90859,224464,676433.46
9/15/2014,1285981.12,5401674.02,155272,210104.5,665508.25
9/16/2014,1267550.58,5712926.99,160753.5,223002,720815.32
9/17/2014,1319817.79,5949771.56,164128.83,224706,759001.66
9/18/2014,1393381.36,6267082.37,166917.46,231215.5,798383.84
9/19/2014,1464104.27,6541938.21,184241,243439.5,802223.39
9/20/2014,1429838.03,6270924.6,105887,245440,690463.53
9/21/2014,1375476.09,5725286.48,88688.23,200187,659816.97
9/22/2014,1234099.01,5366419.64,144828.5,195885,657153.6
9/23/2014,1180665.94,5432795.8,145471.54,199673.5,683468.83
9/24/2014,1221983.5,5486106.93,151402,207534.5,687419.13
9/25/2014,1231438.77,5563208.75,157241.86,212422,686955.98
9/26/2014,1322279.83,5856991.06,173154,223313.5,691703.99
9/27/2014,1421427.11,6203976.11,106322,242603,670126.02
9/28/2014,1439363.48,5733461.68,88969.05,215887,652570
9/29/2014,1241808.18,5291294.09,149117,199340.5,659145.38
9/30/2014,1249431.84,5534102.69,159616.05,216951.5,704413.4
10/1/2014,1298627.97,5824196.6,166060.5,228200,746494.21
10/2/2014,1363908.04,6054755.19,169871.88,232828,769885.04
10/3/2014,1412142.36,6149317.17,184036.73,241787,740788.59
10/4/2014,1301120.66,5451419.19,101290,232945.5,595703.35
10/5/2014,1358583.82,5514238.25,85414,207123,631762.99
10/6/2014,1247835.56,5250849.84,152255,204022,644484.98
10/7/2014,1241901.78,5535837.21,160987,217681,695601.08
10/8/2014,1328486.58,5906724.73,167926.64,227190,753684.65
10/9/2014,1416331.74,6233032.8,177186.92,237727,791336.15
10/10/2014,1479505.43,6511391.21,180912.96,243963,789410.42
10/11/2014,1447969.15,6302445.33,105415,253812.5,690342.84
10/12/2014,1433650.07,5896913.7,93553.5,217779,656098.14
10/13/2014,1239449.92,4977214.45,58567.5,193723,593224.96
10/14/2014,1294867.39,5643050.88,154648.96,214947,703024.54
10/15/2014,1323068.59,5904235.97,163955,227479.5,740033.5
10/16/2014,1413546.02,6283332.2,177849.42,239900.5,800093.65
10/17/2014,1478335.54,6530443.25,184084.14,245239.5,795016.7
10/18/2014,1474894.23,6344823.28,108379,256005.5,706592.04
10/19/2014,1482411.33,5969046.11,92772.5,229851,691589.72
10/20/2014,1288736.58,5378505.9,153200.96,207410,667694.69
10/21/2014,1277244.89,5642007.11,164070.5,222028,718687.13
10/22/2014,1295397.3,5995755.01,167639,230020,769603.35
10/23/2014,1386642.03,6337200.52,167926.5,235007,811952.13
10/24/2014,1475976.13,6511152.89,184323,245033.5,801787.73
10/25/2014,1434612.5,6230596.38,106111.5,249612.5,691374.03
10/26/2014,1439238.64,5800781.01,88169.5,219509,671864.69
10/27/2014,1255884.29,5293932.81,152691.5,205091.5,652293.86
10/28/2014,1250095.83,5622056.96,157702,216549.5,704405.63
10/29/2014,1296551.27,5825379.13,167704.73,226160,746175.07
10/30/2014,1376643.92,6278448.62,170270.23,233825.5,794584.1
10/31/2014,1411547.95,6446559.06,180721,246266.5,768526.97
11/1/2014,1556958,6814474.08,117914.5,279824.5,761893.16
11/2/2014,1369874.92,5526723.15,90287,216841.5,648616.82
11/3/2014,1266893.83,5398131.41,149203.83,205330,671106.62
11/4/2014,1228391.22,5439860.67,63813,211548,683083.94
11/5/2014,1302344.78,5872970.9,160648.5,223699.5,765025.13
11/6/2014,1356230.35,6209531.38,167840.8,234218.5,809617.92
11/7/2014,1437880.29,6560110.21,180701,242416.5,805674.54
11/8/2014,1434056.7,6385347.82,107829.5,257017,725459.25
11/9/2014,1422803.4,5762973.37,88045,221915.5,679729.09
11/10/2014,1224524.45,5258523.7,149123.2,202851.5,663534.85
11/11/2014,1188315.02,5287015.5,62608,200310,671686.06
11/12/2014,1276177.32,5785530.8,161427.01,221511,762274.82
11/13/2014,1332324.55,6189695.71,167002,231135.5,806471.64
11/14/2014,1414164.38,6429052.01,183970.5,244827,816724.54
11/15/2014,1413454.27,6305777.88,107129,253247,722203.78
11/16/2014,1407705.51,5714060.38,88072.45,219995.5,685842.49
11/17/2014,1182064.93,5230644.24,139915.5,200336,671505.66
11/18/2014,1270856.28,5832421.33,164352,227401,769500.04
11/19/2014,1292412.82,6022571.85,162739,228475.5,793576.06
11/20/2014,1337846.48,6174651.69,164100.6,228316,791889.08
11/21/2014,1422698.79,6472838.15,182940,246673.5,817959.22
11/22/2014,1421331.71,6239932.82,107706,257203.5,717300.48
11/23/2014,1308505.53,5326654.82,85710,212012,619068.37
11/24/2014,1117623.62,4923709.48,142629,198634,592765.34
11/25/2014,1176496.9,5497166.69,138734.96,203768,672613.75
11/26/2014,1150499.82,5240560.09,146496.01,211840.5,606958.06
11/27/2014,927421.82,3685963.28,56279.5,147510.5,377070.73
11/28/2014,917545.88,3924675.56,143156.46,173454.5,378965.94
11/29/2014,1167555.03,4847825.37,75418.5,197055,502858.11
11/30/2014,1278005.56,4997594.83,69212,184223.5,577477.03
12/1/2014,1266637.59,5419819.9,143797.5,198688.5,679183.45
